,Sumerian - Input,English - Exact,English - Predicted
0,NUMB sila ce sa ce inuha,"NUMB sila3 barley … straw ,","NUMB sila3 barley of Hunum ,"
1,NUMB sila gugalgal mua,"NUMB sila3 , chickpeas , grown ,","NUMB lamb of salt , the “ ragaba ” ,"
2,NUMB sila guturtur mua,"NUMB sila3 lentils , grown ,","NUMB lamb of salt , the “ ragaba ” ,"
3,NUMB sila gig mua,"NUMB sila3 wheat , grown ,","NUMB sila3 fine wheat ,"
4,NUMB sila imgaga mua,"NUMB sila3 … grown ,","NUMB ban NUMB sila spelt ,"
5,NUMB sila ce inuha mua,"NUMB sila3 barley , straw , grown ,","NUMB lamb of mountainland , grain of the year ,"
6,NUMB sila gugalgal X X,"NUMB sila3 chickpeas , … ,","NUMB sila3 Geštinana-ama-lugal … ,"
7,NUMB sila guturtur X X,"NUMB sila3 lentils , … ,","NUMB sila3 Geštinana-ama-lugal … ,"
8,NUMB sila cegeci X,"NUMB sila3 sesame oil , … ,","NUMB sila3 sesame seeds ,"
9,ma anace ca X,"for the boat of An , in … ,",for the ordNUMB time .
10,ekicnugalce,for the Ekišnugal temple,"say ,"
11,urdublamah,"Ur-dublamaḫ ,","say ,"
12,dumu X,"son of ARAD-… ,",son of Lugal-… .
13,situm,the remaining ( carry-over deficit ) ;,the remainder ;
14,NUMB ku sagkur,"NUMB , NUMB “ headed ” fish ,","NUMB fish of copper ,"
15,kubi NUMB gin NUMB ce,"their silver : NUMB shekels , NUMB grains ;",its silver : NUMB shekel NUMB grains ;
16,NUMB ku cabar,"NUMB gutted fish , their silver : NUMB shekels","NUMB fish of copper ,"
17,kubi NUMB gin,their silver : NUMB shekels,the silver : NUMB shekels ;
18,NUMB gu siki,"NUMB talents of wool ,","NUMB talents of plaster ,"
19,ca kiciba,under seal .,"in Tummal ,"
20,NUMB ku girus,"NUMB , NUMB slit fish ,","NUMB fish of copper ,"
21,NUMB iku,"NUMB fish oil ,","NUMB jenny ,"
22,NUMB zulum gur,"NUMB of dates ,",NUMB of dates
23,kubi NUMB mana NUMB gin,"their silver : NUMB mana , NUMB shekels ;",the silver : NUMB mana NUMB shekels ;
24,mu enmahgalana bahun,year : “ Enmaḫgalana was installed ” AS NUMB .,year : “ Enmaḫgalana was hired . ”
25,mu enunugal inanna bahun,year : “ En-unugal-Inanna was installed ” AS NUMB .,year : “ Enunugal of Inanna was installed . ”
26,NUMB ummu,"NUMB water skins ,","( and ) NUMB water skins ,"
27,kubi NUMB gin NUMB ce,"their silver : NUMB shekel , NUMB grains ;",its silver : NUMB shekel NUMB grains ;
