,Sumerian - Input,English - Exact,English - Predicted
0,NUMB sila ce sa ce inuha,"NUMB sila3 barley … straw ,","NUMB sila3 barley , threshed ,"
1,NUMB sila gugalgal mua,"NUMB sila3 , chickpeas , grown ,","NUMB lamb ( for ) Dada , the cup-bearer ,"
2,NUMB sila guturtur mua,"NUMB sila3 lentils , grown ,","NUMB lamb ( for ) Dada , the cup-bearer ,"
3,NUMB sila gig mua,"NUMB sila3 wheat , grown ,","NUMB sila3 wheat ,"
4,NUMB sila imgaga mua,"NUMB sila3 … grown ,","NUMB , NUMB ban NUMB sila spelt ( ? ) ,"
5,NUMB sila ce inuha mua,"NUMB sila3 barley , straw , grown ,","NUMB lamb , interest-bearing , with the cook ;"
6,NUMB sila gugalgal X X,"NUMB sila3 chickpeas , … ,",NUMB sila3 : Gudea …
7,NUMB sila guturtur X X,"NUMB sila3 lentils , … ,",NUMB sila3 : Gudea …
8,NUMB sila cegeci X,"NUMB sila3 sesame oil , … ,","NUMB sila3 sesame seeds ,"
9,ma anace ca X,"for the boat of An , in … ,",in … ;
10,ekicnugalce,for the Ekišnugal temple,"let him ,"
11,urdublamah,"Ur-dublamaḫ ,","let him ,"
12,dumu X,"son of ARAD-… ,",son of Ur-…
13,situm,the remaining ( carry-over deficit ) ;,the remainder ;
14,NUMB ku sagkur,"NUMB , NUMB “ headed ” fish ,","NUMB fish , agul ,"
15,kubi NUMB gin NUMB ce,"their silver : NUMB shekels , NUMB grains ;","its silver equivalent : NUMB shekels , NUMB grains ,"
16,NUMB ku cabar,"NUMB gutted fish , their silver : NUMB shekels","NUMB fish , agul ,"
17,kubi NUMB gin,their silver : NUMB shekels,the silver : NUMB shekels ;
18,NUMB gu siki,"NUMB talents of wool ,","NUMB talent-pounds ? of wool ,"
19,ca kiciba,under seal .,"in the basket-of-tablets ,"
20,NUMB ku girus,"NUMB , NUMB slit fish ,","NUMB fish , agul ,"
21,NUMB iku,"NUMB fish oil ,","NUMB Tabbani ,"
22,NUMB zulum gur,"NUMB of dates ,",NUMB of dates
23,kubi NUMB mana NUMB gin,"their silver : NUMB mana , NUMB shekels ;",the silver : NUMB mana NUMB shekels ;
24,mu enmahgalana bahun,year : “ Enmaḫgalana was installed ” AS NUMB .,year : “ Enmahgalana was hired . ”
25,mu enunugal inanna bahun,year : “ En-unugal-Inanna was installed ” AS NUMB .,year : “ Enunugal was hired as ( the high-priest of ) Inanna . ”
26,NUMB ummu,"NUMB water skins ,","( and ) NUMB water skins ,"
27,kubi NUMB gin NUMB ce,"their silver : NUMB shekel , NUMB grains ;","its silver equivalent : NUMB shekels , NUMB grains ,"
28,NUMB esir X,NUMB pairs ? of leather sandals,NUMB EA …
29,kubi NUMB gin X,their silver : NUMB shekel …,its silver : NUMB shekels … ;
30,kubi n,their silver : …,its silver : NUMB shekel ;
31,ce icahka,barley of the lard .,"barley rations ,"
32,cunigin NUMB mana NUMB gin NUMB ce kubabbar,"Together : NUMB mana , NUMB shekels , NUMB grains of silver","Total : NUMB mana , NUMB shekels , NUMB grains of silver"
33,NUMB mana la NUMB gin NUMB ce kubabbar,"NUMB mana NUMB shekel , NUMB grains of silver ,","NUMB mana NUMB shekel NUMB grains silver ,"
34,kubi NUMB mana NUMB gin,"their silver : NUMB mana , NUMB shekels ,",the silver : NUMB mana NUMB shekels ;
35,kicib lukala,under the seal of Lukalla ;,under seal of Lukalla ;
36,NUMB sila icah gur,"NUMB , NUMB , NUMB , NUMB sila3 of lard ,","NUMB sila3 lard ,"
37,kubi NUMB mana NUMB gin la NUMB ce,"its silver : NUMB mana , NUMB shekels NUMB grains ,",its silver : NUMB mana NUMB shekels NUMB grains ;
38,kicib urculpae,under the seal of Ur-Šulpae ;,under seal of Ur-Šulpa’e ;
39,NUMB sila gectin had sadu lugal,"NUMB sila3 of raisins , royal supplement ,","NUMB , NUMB ban NUMB sila of raisins , royal ( measure ) ,"
40,NUMB sila gectin had giri lugalcala,"NUMB sila3 of raisins via Lugal-šala ,","NUMB sila3 of raisins , NUMB sila3 of raisins ,"
41,kubi NUMB,their silver : NUMB shekel ;,its silver : NUMB ( shekel ) ;
42,NUMB kabkul,"NUMB wooden k-containers ,","NUMB ( mana wool for ) Ku’e ,"
43,kubi NUMB gin,their silver : NUMB shekels ;,the silver : NUMB shekels ;
44,kicib agu,under the seal of Agu ;,under seal of Agu ;
45,NUMB gin ku uruda urima,"NUMB shekels of silver for Ur copper ,","NUMB shekels silver , agul silver ,"
46,giri urlamma u elubizu,via Ur-Lamma and Elubizu .,"via Ur-Lamma , and Lugal-nigzu ;"
