,Sumerian - Input,English - Exact,English - Predicted
0,NUMB sila ce sa ce inuha,"NUMB sila3 barley … straw ,",NUMB ban NUMB sila barley
1,NUMB sila gugalgal mua,"NUMB sila3 , chickpeas , grown ,",NUMB sila3 NUMB shekel silver
2,NUMB sila guturtur mua,"NUMB sila3 lentils , grown ,",NUMB sila3 NUMB shekel silver
3,NUMB sila gig mua,"NUMB sila3 wheat , grown ,",NUMB sila3 wheat ;
4,NUMB sila imgaga mua,"NUMB sila3 … grown ,","NUMB , NUMB ban NUMB sila spelt"
5,NUMB sila ce inuha mua,"NUMB sila3 barley , straw , grown ,",NUMB sila3 barley ;
6,NUMB sila gugalgal X X,"NUMB sila3 chickpeas , … ,",NUMB sila3 …
7,NUMB sila guturtur X X,"NUMB sila3 lentils , … ,",NUMB sila3 …
8,NUMB sila cegeci X,"NUMB sila3 sesame oil , … ,","NUMB sila3 sesame seeds ,"
9,ma anace ca X,"for the boat of An , in … ,",for boat of An ;
10,ekicnugalce,for the Ekišnugal temple,"Babati ,"
11,urdublamah,"Ur-dublamaḫ ,","Babati ,"
12,dumu X,"son of ARAD-… ,",son of Ur-…
13,situm,the remaining ( carry-over deficit ) ;,remaining ( deficit )
14,NUMB ku sagkur,"NUMB , NUMB “ headed ” fish ,","NUMB silver , agul silver ,"
15,kubi NUMB gin NUMB ce,"their silver : NUMB shekels , NUMB grains ;",its silver : NUMB shekel NUMB grains ;
16,NUMB ku cabar,"NUMB gutted fish , their silver : NUMB shekels","NUMB silver , agul silver ,"
17,kubi NUMB gin,their silver : NUMB shekels,its silver : NUMB shekels ;
18,NUMB gu siki,"NUMB talents of wool ,","NUMB ox ,"
19,ca kiciba,under seal .,in Kar-geštin
20,NUMB ku girus,"NUMB , NUMB slit fish ,","NUMB silver , agul silver ,"
21,NUMB iku,"NUMB fish oil ,","NUMB breaks another man’s tooth ,"
22,NUMB zulum gur,"NUMB of dates ,",NUMB dates
23,kubi NUMB mana NUMB gin,"their silver : NUMB mana , NUMB shekels ;",ist silver : NUMB mana NUMB shekels ;
24,mu enmahgalana bahun,year : “ Enmaḫgalana was installed ” AS NUMB .,Year : “ Enmahgalana was installed ” .
25,mu enunugal inanna bahun,year : “ En-unugal-Inanna was installed ” AS NUMB .,year : “ Enunugal was hired . ”
26,NUMB ummu,"NUMB water skins ,","( and ) NUMB water skins ,"
27,kubi NUMB gin NUMB ce,"their silver : NUMB shekel , NUMB grains ;",its silver : NUMB shekel NUMB grains ;
28,NUMB esir X,NUMB pairs ? of leather sandals,"NUMB … for bitumen ,"
29,kubi NUMB gin X,their silver : NUMB shekel …,its silver : NUMB shekels ;
30,kubi n,their silver : …,"its silver equivalent : NUMB ( shekel ) NUMB grains ,"
31,ce icahka,barley of the lard .,…barley…
32,cunigin NUMB mana NUMB gin NUMB ce kubabbar,"Together : NUMB mana , NUMB shekels , NUMB grains of silver",total : NUMB minas NUMB shekels NUMB grains of silver ;
33,NUMB mana la NUMB gin NUMB ce kubabbar,"NUMB mana NUMB shekel , NUMB grains of silver ,","NUMB mana NUMB shekels NUMB grains silver ,"
34,kubi NUMB mana NUMB gin,"their silver : NUMB mana , NUMB shekels ,",ist silver : NUMB mana NUMB shekels ;
35,kicib lukala,under the seal of Lukalla ;,sealed tablet of Lukalla .
36,NUMB sila icah gur,"NUMB , NUMB , NUMB , NUMB sila3 of lard ,","NUMB sila3 lard ,"
37,kubi NUMB mana NUMB gin la NUMB ce,"its silver : NUMB mana , NUMB shekels NUMB grains ,",its silver : NUMB mana NUMB shekels NUMB grains ;
38,kicib urculpae,under the seal of Ur-Šulpae ;,under seal of Ur-Šulpa’e ;
39,NUMB sila gectin had sadu lugal,"NUMB sila3 of raisins , royal supplement ,","NUMB , NUMB ban , NUMB sila of raisins ,"
40,NUMB sila gectin had giri lugalcala,"NUMB sila3 of raisins via Lugal-šala ,","NUMB , Lugal-šala , NUMB ban ,"
41,kubi NUMB,their silver : NUMB shekel ;,its silver : NUMB shekel ;
42,NUMB kabkul,"NUMB wooden k-containers ,",NUMB ( mana wool for ) Ur-Urbartab
43,kubi NUMB gin,their silver : NUMB shekels ;,its silver : NUMB shekels ;
44,kicib agu,under the seal of Agu ;,under seal of Agu ;
45,NUMB gin ku uruda urima,"NUMB shekels of silver for Ur copper ,","NUMB shekels silver , copper of Ur ,"
46,giri urlamma u elubizu,via Ur-Lamma and Elubizu .,"via Ur-Lamma , Duduli ,"
47,cunigin NUMB mana NUMB ce kubabbar,"Together : NUMB mana , NUMB shekel , NUMB grains of silver",total : NUMB minas NUMB shekel NUMB grains of silver ;
48,laia NUMB mana NUMB gin NUMB ce kubabbar,"debit : NUMB mana , NUMB shekel , NUMB grains of silver ;","Deficit : NUMB mana , NUMB shekels , NUMB grains of silver ."
49,nigkak ceckala damgar,"account of Šeškala , the trade agent ;","account of Šeškalla , the trade agent ;"
50,mu enunugal inanna bahun,year : “ En-unugal-Inanna was installed . ”,year : “ Enunugal was hired . ”
51,ninkununa,To Ninkununa,for Ninkununa
52,NUMB icah,"NUMB of lard ,","NUMB lard ,"
53,u amarduta baradua,"when from … they were released ,","and …-zi ,"
54,geme babde,the female workers brought ( ? ) ;,"female laborers , ( each ) NUMB female laborer days ,"
55,ki luginata,from Lugina ( ’s account ),from Lugina ;
56,luenki,for Lu-Enki ;,bvia Lu-Enki ;
57,NUMB gin i NUMB gin naga,"NUMB shekels oils , NUMB shekels alkali-plant ,",NUMB shekels oil ; NUMB shekels alkali-plant ;
58,laqip,for Laqīp ;,"Babati ,"
59,urdari,for Ur-dari ;,"Babati ,"
60,aliah,for Ali’aḫ ;,"Babati ,"
61,duili,for Du-ilī ;,Du-ilī ;
62,cunigin NUMB sila kac NUMB sila ninda,total : NUMB sila3 beer ; NUMB sila3 bread ;,"total : NUMB sila3 beer , NUMB sila3 bread ,"
63,NUMB sila NUMB gin cum,NUMB sila3 NUMB shekels onions ;,"NUMB sila3 of onions ,"
64,NUMB sila NUMB gin i,NUMB sila3 NUMB shekel oil ;,"NUMB lamb , NUMB shekels oil ,"
65,NUMB gin naga,NUMB shekels alkali plant ;,"NUMB shekels alkali-plant ,"
66,NUMB udu abul bara utu,"NUMB sheep , city gate , dais of Utu ;","NUMB sheep of Utu ,"
67,NUMB udu abul baba,"NUMB sheep , city gate of Baba ;","NUMB sheep , …"
68,NUMB udu abul egal,"NUMB sheep , city gate , palace ;","NUMB sheep of the palace ,"
69,NUMB udu abul nance,"NUMB sheep , city gate of Nanše ;","NUMB sheep , Nanše ,"
70,NUMB udu eunuce,"NUMB sheep , House-of-Uruk ;","NUMB sheep , NUMB lambs ,"
71,NUMB udu ga magura ningeczida,"NUMB sheep , cabin of the barge of Ningešzida ;","NUMB suckling sheep , …"
72,NUMB udu gudea,"NUMB sheep , Gudea ;","NUMB sheep , Gudea ,"
73,NUMB udu urlamma ensi,"NUMB sheep , Ur-Lamma , the governor ;","NUMB sheep , Ur-Lamma , the governor ,"
74,siskur ga guce,offering for milk-feeding ;,siskur-offering suckling ;
75,giri akala luinima,"via Akalla , man of testimony ;","via Akalla , …"
